SE,20003,11/5/2024,Unnamed: 0,Unnamed: 1,Unnamed: 2
SE,20020,11/5/2024,,,
NW,20001,11/6/2024,,,
NW,20007,11/6/2024,,,
NW,20008,11/6/2024,,,
NW,20001,11/6/2024,,,
SE,20020,11/7/2024,,,
SW,20024,11/7/2024,,,
SE,20032,11/7/2024,,,
SE,20032,11/7/2024,,,
SE,20032,11/7/2024,,,
SE,20020,11/7/2024,,,
SE,20020,11/7/2024,,,
SE,20020,11/7/2024,,,
SE,20020,11/7/2024,,,
SE,20020,11/7/2024,,,
NE,20011,11/8/2024,,,
NE,20018,11/8/2024,,,
NE,20002,11/8/2024,,,
NE,20002,11/8/2024,,,
NE,20002,11/8/2024,,,
NE,20019,11/8/2024,,,
NE,20002,11/8/2024,,,
NE,20019,11/8/2024,,,
NE,20002,11/8/2024,,,
NE,20002,11/8/2024,,,
NE,20002,11/8/2024,,,
SE,20003,11/12/2024,,,
SW,20032,11/12/2024,,,
SE,20019,11/12/2024,,,
SE,20019,11/12/2024,,,
SE,20020,11/12/2024,,,
SE,20020,11/12/2024,,,
SE,20020,11/12/2024,,,
