NW,20011,11/13/2024,Unnamed: 0,Unnamed: 1,Unnamed: 2
NW,20016,11/13/2024,,,
NW,20001,11/13/2024,,,
SE,20003,11/14/2024,,,
SE,20032,11/14/2024,,,
SE,20020,11/14/2024,,,
SE,20019,11/14/2024,,,
SE,20032,11/14/2024,,,
SW,20032,11/14/2024,,,
SW,20024,11/14/2024,,,
SE,20019,11/14/2024,,,
SE,20019,11/14/2024,,,
SE,20019,11/14/2024,,,
SE,20019,11/14/2024,,,
SE,20019,11/14/2024,,,
SE,20020,11/14/2024,,,
SE,20003,11/14/2024,,,
SE,20020,11/14/2024,,,
SW,20024,11/14/2024,,,
SE,20003,11/14/2024,,,
SE,20020,11/14/2024,,,
SW,20032,11/14/2024,,,
NE,20002,11/15/2024,,,
NE,20019,11/15/2024,,,
NE,20019,11/15/2024,,,
NE,20002,11/15/2024,,,
NE,20018,11/15/2024,,,
NE,20019,11/15/2024,,,
NE,20019,11/15/2024,,,
NE,20002,11/15/2024,,,
NE,20002,11/15/2024,,,
NE,20018,11/15/2024,,,
NE,20019,11/15/2024,,,
NE,20019,11/15/2024,,,
