NW,20037,12/4/2024,Unnamed: 0,Unnamed: 1,Unnamed: 2
NW,20008,12/4/2024,,,
NW,20008,12/4/2024,,,
NW,20011,12/4/2024,,,
NW,20009,12/4/2024,,,
NW,20005,12/4/2024,,,
NW,20011,12/4/2024,,,
NW,20010,12/4/2024,,,
NW,20008,12/4/2024,,,
NW,20001,12/4/2024,,,
SE,20032,12/10/2024,,,
SE,20032,12/10/2024,,,
SE,20032,12/10/2024,,,
SE,20020,12/10/2024,,,
SE,20020,12/10/2024,,,
SW,20024,12/10/2024,,,
SE,20032,12/10/2024,,,
SW,20032,12/10/2024,,,
SE,20032,12/10/2024,,,
SE,20032,12/10/2024,,,
SE,20032,12/10/2024,,,
SE,20032,12/10/2024,,,
SW,20032,12/10/2024,,,
SW,20032,12/10/2024,,,
SE,20020,12/10/2024,,,
SE,20020,12/10/2024,,,
SE,20020,12/10/2024,,,
SE,20020,12/10/2024,,,
SE,20020,12/10/2024,,,
SE,20020,12/10/2024,,,
NW,20009,12/11/2024,,,
NW,20012,12/11/2024,,,
NW,20001,12/11/2024,,,
NW,20001,12/11/2024,,,
