6400-24,"133 IVANHOE STREET, #102",SW,20032,1/7/2025,Unnamed: 0
6314-24,"3630 BROTHERS PLACE, #304",SE,20032,1/7/2025,
6397-24,"135 IRVINGTON STREET, #101",SW,20032,1/7/2025,
3077-24,"1917 MINNESOTA AVENUE, #12",SE,20020,1/7/2025,
1140-24,1234 SOUTHERN AVENUE #202,SE,20032,1/7/2025,
2376-24,3423 5TH ST UNIT #11,SE,20032,1/7/2025,
7371-24,"2664 DOUGLASS PLACE, #301",SE,20020,1/7/2025,
3126-24,"1200 MISSISSIPPI AVENUE, #204",SE,20032,1/7/2025,
6898-23,"1815 TRENTON PLACE, #304",SE,20020,1/7/2025,
2037-24,"1011 1ST STREET, #1008",SE,20003,1/7/2025,
7509-24,"350 MAPLE DRIVE, #0506",SW,20024,1/7/2025,
8504-24,"325 P STREET, #609",SW,20024,1/7/2025,
8430-24,350 MAPLE DRIVE #911,SW,20024,1/7/2025,
1119-24,"3911 1ST STREET, #203",SE,20032,1/7/2025,
8246-23,2634 SHERIDAN ROAD,SE,20020,1/7/2025,
4096-24,"1906 23RD STREET, #111B",SE,20020,1/7/2025,
7332-24,"2660 DOUGLASS PLACE, #302",SE,20020,1/7/2025,
7347-24,"2650 DOUGLASS PLACE, #302",SE,20020,1/7/2025,
7351-24,"2650 DOUGLASS PLACE, #202",SE,20020,1/7/2025,
8247-24,1431 LONGFELLOW STREET,NW,20011,1/8/2025,
5039-24,2323 SHERMAN AVE #238,NW,20001,1/8/2025,
1315-24,1315 CLIFTON STREET #012,NW,20009,1/8/2025,
5512-24,1416 R STREET #103,NW,20009,1/8/2025,
6017-24,5922 13TH STREET #203,NW,20011,1/8/2025,
3465-24,3600 ELY PLACE UNIT 125,SE,20019,1/9/2025,
9721-22,3719 HORNER PL #2,SE,20032,1/9/2025,
4745-24,201 17TH STREET,SE,20003,1/9/2025,
8852-24,2311 GREEN ST #101,SE,20020,1/9/2025,
5160-24,1600 PENNSYLVANIA AVE #410,SE,20003,1/9/2025,
8592-24,2121 1ST STREET #337,SW,20024,1/9/2025,
9323-23,885 CHESAPEAKE STREET #302,SE,20032,1/9/2025,
4199-24,800 SOUTHERN AVE #626,SE,20032,1/9/2025,
7586-24,820 SOUTHERN AVENUE #302,SE,20032,1/9/2025,
6961-24,4660 MARTIN LUTHER KING JR AVENUE #B208,SW,20032,1/9/2025,
