SW,20032,11/21/2024,Unnamed: 0,Unnamed: 1,Unnamed: 2
SW,20032,11/21/2024,,,
SE,20032,11/21/2024,,,
SE,20019,11/21/2024,,,
SW,20032,11/21/2024,,,
SW,20024,11/21/2024,,,
SW,20024,11/21/2024,,,
SE,20020,11/21/2024,,,
SE,20020,11/21/2024,,,
SE,20020,11/21/2024,,,
NE,20018,11/22/2024,,,
NE,20019,11/22/2024,,,
NE,20017,11/22/2024,,,
NE,20018,11/22/2024,,,
NE,20018,11/22/2024,,,
NE,20019,11/22/2024,,,
NE,20002,11/22/2024,,,
NE,20002,11/22/2024,,,
NE,20002,11/22/2024,,,
NE,20002,11/22/2024,,,
NE,20002,11/22/2024,,,
NE,20002,11/22/2024,,,
NE,20002,11/22/2024,,,
NE,20002,11/22/2024,,,
NE,20017,12/2/2024,,,
NE,20002,12/2/2024,,,
NE,20017,12/2/2024,,,
NE,20019,12/2/2024,,,
NE,20019,12/2/2024,,,
NE,20002,12/2/2024,,,
NE,20002,12/2/2024,,,
NE,20002,12/2/2024,,,
NE,20019,12/2/2024,,,
NE,20018,12/2/2024,,,
